location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,mos_japanese_enc,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min,location_mosquito,location_chicken
Byron Bay,2020-05-02,2019/2020,44,558,173,802,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,15.89,24.7,26.6,14.6,12,1,
Byron Bay,2020-05-09,2019/2020,45,518,146,773,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,37.5,22,24.9,11.9,10.4,1,
Byron Bay,2020-05-16,2019/2020,46,522,154,815,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5.25,21.6,24.4,12.5,11.6,1,
Casino,2019-11-30,2019/2020,22,566,147,801,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0.68,32.6,36,17.7,15.8,1,
Casino,2019-12-07,2019/2020,23,536,168,842,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,16.18,33.9,38.3,16.6,13.2,1,
Casino,2019-12-14,2019/2020,24,574,158,813,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,20.05,31.6,37.7,19.2,17,1,
Casino,2019-12-21,2019/2020,25,579,148,797,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1.59,32.7,37.9,17.6,13.8,1,
Casino,2019-12-28,2019/2020,26,544,155,827,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,43.77,30.5,35.1,19.8,17.5,1,
Casino,2020-01-04,2019/2020,27,552,158,792,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0.01,32.6,34.2,16.8,15.2,1,
Casino,2020-01-11,2019/2020,28,580,171,804,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0.76,34.8,37.4,19.1,16,1,
Casino,2020-01-18,2019/2020,29,532,151,806,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,39.59,29.2,36.8,20.1,19.1,1,
Casino,2020-01-25,2019/2020,30,540,190,810,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,137.6,32.9,37.3,21.8,20.2,1,
Casino,2020-02-01,2019/2020,31,536,135,794,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,12.92,31.8,34,21.5,19.2,1,
Casino,2020-02-08,2019/2020,32,562,173,844,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,100.03,29.3,38.4,20,18.2,1,
Casino,2020-02-15,2019/2020,33,548,151,841,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,176.43,27.4,29.6,21.1,20.3,1,
Casino,2020-02-22,2019/2020,34,518,176,802,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,27.12,31.7,35.8,21.7,19.8,1,
Casino,2020-02-29,2019/2020,35,618,168,781,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,42.01,27.7,31.6,19.6,18.9,1,
Casino,2020-03-07,2019/2020,36,568,136,810,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,19.74,30.6,34.9,20.5,19.4,1,
Casino,2020-03-14,2019/2020,37,556,170,772,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,40,25.1,26.1,18,15.8,1,
Casino,2020-03-21,2019/2020,38,582,177,752,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,14.51,26.4,31,14.7,13.3,1,
Casino,2020-03-28,2019/2020,39,524,134,775,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,8.28,27.4,32.5,18.2,17.3,1,
Casino,2020-04-04,2019/2020,40,550,165,808,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,9.97,28.2,30.9,16.6,15.2,1,
Casino,2020-04-11,2019/2020,41,526,152,775,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,14.09,25.3,26.6,15.3,11.8,1,
Casino,2020-04-18,2019/2020,42,532,166,774,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,3.47,27.7,33,13,9.8,1,
Casino,2020-04-25,2019/2020,43,567,155,798,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0.05,27.1,28.6,12.7,10.4,1,
Casino,2020-05-02,2019/2020,44,551,164,824,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,13.93,26.1,29.4,12.8,11.3,1,
Casino,2020-05-09,2019/2020,45,518,159,798,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,2.14,23.3,26.5,9.3,6.5,1,
Casino,2020-05-16,2019/2020,46,543,158,763,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5.97,22.7,25.7,10.4,8.5,1,
Central Coast,2019-11-30,2019/2020,22,560,162,810,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,7.31,28.1,34.9,15.4,10.5,1,
Central Coast,2019-12-07,2019/2020,23,516,149,840,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0.49,27.7,33.3,15,12,1,
Central Coast,2019-12-14,2019/2020,24,545,163,757,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0.1,27,36.3,17,15.6,1,
Central Coast,2019-12-21,2019/2020,25,553,182,803,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0.03,29.3,40.1,16.1,13.1,1,
Central Coast,2019-12-28,2019/2020,26,493,150,816,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1.92,28.2,38.2,18,16.4,1,
Central Coast,2020-01-04,2019/2020,27,538,157,780,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.39,32.3,40.1,18.1,16.2,1,
Central Coast,2020-01-11,2019/2020,28,569,177,760,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,12.92,29.9,44.1,19.8,17.6,1,
Central Coast,2020-01-18,2019/2020,29,548,178,757,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,15.42,25.4,28.3,18.3,17,1,
Central Coast,2020-01-25,2019/2020,30,538,148,789,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,56,30.2,41.2,19.2,17.1,1,
Central Coast,2020-02-01,2019/2020,31,558,159,801,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,12.27,30.8,34.5,21.6,18.9,1,
Central Coast,2020-02-08,2019/2020,32,534,176,790,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,68.5,28.3,39.8,19.8,14.4,1,
Central Coast,2020-02-15,2019/2020,33,565,139,767,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,308.39,25.5,29.5,19.6,18.2,1,
Central Coast,2020-02-22,2019/2020,34,585,149,851,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,29.81,26.7,32.3,18.1,15.1,1,
Central Coast,2020-02-29,2019/2020,35,573,175,787,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,13.51,26.4,32,17.8,15.7,1,
Central Coast,2020-03-07,2019/2020,36,542,189,789,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,49.09,27.2,36.9,18.5,16,1,
Central Coast,2020-03-14,2019/2020,37,567,173,825,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,13.17,23.3,25.2,15,12,1,
Central Coast,2020-03-21,2019/2020,38,555,150,805,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,40.07,24.3,33.6,13.7,11.2,1,
Central Coast,2020-03-28,2019/2020,39,564,157,792,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,41.81,23.4,28.8,15.7,14.7,1,
Central Coast,2020-04-04,2019/2020,40,520,172,781,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,20.83,24.8,26.6,16,12.5,1,
Central Coast,2020-04-11,2019/2020,41,572,178,878,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,27.91,21.8,25.8,14.4,12.1,1,
Central Coast,2020-04-18,2019/2020,42,561,167,756,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1.41,25.1,28.1,12.1,7.7,1,
Central Coast,2020-04-25,2019/2020,43,578,141,748,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0.01,23.9,27.3,10.6,8.5,1,
Central Coast,2020-05-02,2019/2020,44,509,146,765,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,13.12,23,27,13.2,8.9,1,
Central Coast,2020-05-09,2019/2020,45,559,173,785,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,3.49,20.6,25.9,8.9,5.1,1,
Central Coast,2020-05-16,2019/2020,46,550,160,801,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,10.23,19.1,24.9,7.3,3.7,1,
Clarence Valley,2019-11-30,2019/2020,22,554,138,791,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,3.57,30.8,34.3,16.6,15.1,1,
Clarence Valley,2019-12-07,2019/2020,23,548,138,829,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,9.06,31.4,37,14.8,12,1,
Clarence Valley,2019-12-14,2019/2020,24,569,158,772,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,16.24,30.1,36.6,17.6,14.3,1,
Clarence Valley,2019-12-21,2019/2020,25,552,147,826,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0.92,31.8,35.8,16.8,14.4,1,
Clarence Valley,2019-12-28,2019/2020,26,541,157,824,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,60.55,28.9,35.2,18.5,16.2,1,
Clarence Valley,2020-01-04,2019/2020,27,586,152,799,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0.2,32.1,33.4,16.5,14.4,1,
Clarence Valley,2020-01-11,2019/2020,28,584,165,769,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,8.8,33.6,36.9,18.9,16.8,1,
Clarence Valley,2020-01-18,2019/2020,29,553,132,828,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,53.7,27.8,34.8,18.9,17,1,
Clarence Valley,2020-01-25,2019/2020,30,600,187,783,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,148.26,31.3,34.9,20.5,18.9,1,
Clarence Valley,2020-02-01,2019/2020,31,580,176,802,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,11.76,30.8,32.2,21,19.4,1,
Clarence Valley,2020-02-08,2019/2020,32,553,148,788,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,100.16,28.2,36,19.1,16.7,1,
Clarence Valley,2020-02-15,2019/2020,33,538,164,797,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,252.93,26.4,29,19.6,18.6,1,
Clarence Valley,2020-02-22,2019/2020,34,602,128,844,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,37.03,30,34.2,19.8,17.8,1,
Clarence Valley,2020-02-29,2019/2020,35,532,144,808,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,67.52,26.2,30,17.9,17.1,1,
Clarence Valley,2020-03-07,2019/2020,36,510,179,797,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,18.39,28.7,33.1,19.2,18.1,1,
Clarence Valley,2020-03-14,2019/2020,37,514,162,797,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,32.02,23.4,24.6,16.5,14.4,1,
Clarence Valley,2020-03-21,2019/2020,38,568,151,809,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,9.86,24.8,30,13.5,12,1,
Clarence Valley,2020-03-28,2019/2020,39,564,168,817,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,20.37,25.4,30.8,16.8,15.8,1,
Clarence Valley,2020-04-04,2019/2020,40,498,123,783,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,16.79,26.7,28.9,15,13.3,1,
Clarence Valley,2020-04-11,2019/2020,41,568,156,789,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,20.07,23.2,25.2,13.8,9.7,1,
Clarence Valley,2020-04-18,2019/2020,42,547,156,769,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,11.02,25.6,29.9,11.3,7.6,1,
Clarence Valley,2020-04-25,2019/2020,43,550,163,805,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0.05,25,26.5,11.1,8.6,1,
Clarence Valley,2020-05-02,2019/2020,44,571,172,798,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,6.08,24.5,27.4,11.8,9,1,
Clarence Valley,2020-05-09,2019/2020,45,560,156,792,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1.7,21.7,25,8.2,5.7,1,
Clarence Valley,2020-05-16,2019/2020,46,533,161,742,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,8.02,20.9,23.1,8.8,6.9,1,
Coffs Harbour,2019-11-30,2019/2020,22,570,165,838,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,3.13,27.7,32.1,17.1,14.6,1,
Coffs Harbour,2019-12-07,2019/2020,23,555,159,771,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,17.48,29.7,35.1,14.6,11.4,1,
Coffs Harbour,2019-12-14,2019/2020,24,554,148,815,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,12.92,26.8,32.1,17.6,13.8,1,
Coffs Harbour,2019-12-21,2019/2020,25,531,184,859,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,6.91,28.9,33.3,17.4,15.8,1,
Coffs Harbour,2019-12-28,2019/2020,26,511,138,787,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,45.64,26.9,30.6,18.5,16.4,1,
Coffs Harbour,2020-01-04,2019/2020,27,558,134,814,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,29.5,30.6,18,14.7,1,
Coffs Harbour,2020-01-11,2019/2020,28,518,134,807,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,2.34,30.9,35.5,19.7,18.9,1,
Coffs Harbour,2020-01-18,2019/2020,29,546,163,801,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,42.7,27.3,33.8,19.1,16.9,1,
Coffs Harbour,2020-01-25,2019/2020,30,507,158,795,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,196.09,30.3,33.4,20.8,19.2,1,
Coffs Harbour,2020-02-01,2019/2020,31,584,149,805,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,5.23,29.3,30.3,21.6,20.7,1,
Coffs Harbour,2020-02-08,2019/2020,32,547,178,774,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,202.21,27.5,34.2,19.2,17,1,
Coffs Harbour,2020-02-15,2019/2020,33,540,149,786,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,446.49,25.9,29,19.7,19,1,
Coffs Harbour,2020-02-22,2019/2020,34,549,157,824,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,30.24,29,34.1,20,18.1,1,
Coffs Harbour,2020-02-29,2019/2020,35,576,157,786,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,99.24,25.9,29.5,18.1,17.2,1,
Coffs Harbour,2020-03-07,2019/2020,36,558,161,803,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,15.65,28.1,32.2,19.7,18.4,1,
Coffs Harbour,2020-03-14,2019/2020,37,537,147,785,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,61.63,23,24.5,16.9,15.1,1,
Coffs Harbour,2020-03-21,2019/2020,38,577,181,828,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,47.77,24,29.6,14.2,13,1,
Coffs Harbour,2020-03-28,2019/2020,39,548,147,783,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,25.01,24.6,29.1,17.1,15.8,1,
Coffs Harbour,2020-04-04,2019/2020,40,555,139,815,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,26.87,25.8,28.1,15.8,14.2,1,
Coffs Harbour,2020-04-11,2019/2020,41,523,157,792,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,37.13,22.6,25.6,14.5,9.8,1,
Coffs Harbour,2020-04-18,2019/2020,42,586,153,797,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,8.91,25.2,28.7,12.6,8.7,1,
Coffs Harbour,2020-04-25,2019/2020,43,528,177,806,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1.24,24.4,25.8,12.8,10.8,1,
Coffs Harbour,2020-05-02,2019/2020,44,571,147,780,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,4.85,24.2,27.5,12.8,8.8,1,
Coffs Harbour,2020-05-09,2019/2020,45,530,156,777,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,7.35,21.5,25.2,9.8,6.8,1,
Coffs Harbour,2020-05-16,2019/2020,46,553,164,797,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,8.92,20.7,22.8,10.5,8.1,1,
Forbes,2019-11-30,2019/2020,22,531,155,773,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,32.2,36.6,14.3,6.7,1,1
Forbes,2019-12-07,2019/2020,23,536,155,759,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,6.47,26.9,33.4,11.7,7.7,1,1
Forbes,2019-12-14,2019/2020,24,512,157,775,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,34.8,41.5,13.9,10,1,1
Forbes,2019-12-21,2019/2020,25,577,155,816,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,37.4,43.5,17.3,13.1,1,1
Forbes,2019-12-28,2019/2020,26,526,168,774,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,37.9,45.8,20.7,18.4,1,1
Forbes,2020-01-04,2019/2020,27,594,151,791,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,40.1,42.6,20.9,16.6,1,1
Forbes,2020-01-11,2019/2020,28,531,191,799,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,3.27,40.5,45.5,23.5,19.9,1,1
Forbes,2020-01-18,2019/2020,29,569,139,764,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,6.26,33.2,36.2,18.5,13.7,1,1
Forbes,2020-01-25,2019/2020,30,588,152,818,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,13.28,32.9,37.6,18.7,15.2,1,1
Forbes,2020-02-01,2019/2020,31,595,165,784,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0.03,39.1,44.3,19.9,14.6,1,1
Forbes,2020-02-08,2019/2020,32,552,173,812,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,4.32,33.4,44.4,21.5,12.1,1,1
Forbes,2020-02-15,2019/2020,33,535,158,799,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,74.32,28.5,31.7,19.3,17.8,1,1
Forbes,2020-02-22,2019/2020,34,573,173,849,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,6.83,30.7,34.9,18,12.3,1,1
Forbes,2020-02-29,2019/2020,35,482,179,758,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0.23,30,32.8,16.5,9.8,1,1
Forbes,2020-03-07,2019/2020,36,548,156,792,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,56.41,28,34.5,17,13.3,1,1
Forbes,2020-03-14,2019/2020,37,566,149,803,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0.06,27.4,28.2,14.5,13.7,1,1
Forbes,2020-03-21,2019/2020,38,537,174,816,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0.03,27.6,32.1,13.7,11.4,1,1
Forbes,2020-03-28,2019/2020,39,549,161,790,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0.06,26.8,28.7,12.9,9.3,1,1
Forbes,2020-04-04,2019/2020,40,550,164,814,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,45.97,25.6,29,14.3,10.6,1,1
Forbes,2020-04-11,2019/2020,41,537,175,778,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,67.06,20.3,21.9,11.8,7.3,1,1
Forbes,2020-04-18,2019/2020,42,601,167,757,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,5.65,22.3,28.1,9.6,6.4,1,1
Forbes,2020-04-25,2019/2020,43,545,153,781,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0.01,22.1,23.9,7.3,5.7,1,1
Forbes,2020-05-02,2019/2020,44,559,169,808,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,45.13,19.6,25.9,10.2,7,1,1
Forbes,2020-05-09,2019/2020,45,545,150,825,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,9.02,18.2,23.2,6.7,2.6,1,1
Forbes,2020-05-16,2019/2020,46,529,152,771,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0.17,17.2,21.1,4.3,0.9,1,1
Georges River,2019-11-30,2019/2020,22,557,149,795,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,7.9,27.7,34.7,16.5,11.8,1,
Georges River,2019-12-07,2019/2020,23,572,139,828,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,27.4,33.6,15.5,12.9,1,
Georges River,2019-12-14,2019/2020,24,543,162,772,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0.05,26.4,35.1,17.6,15.7,1,
Georges River,2019-12-21,2019/2020,25,604,174,790,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.75,29,40.2,16.9,14,1,
Georges River,2019-12-28,2019/2020,26,555,167,818,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1.35,28.2,36,18.4,16.2,1,
Georges River,2020-01-04,2019/2020,27,605,164,819,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,31.4,42.4,18.8,17.6,1,
Georges River,2020-01-11,2019/2020,28,549,153,755,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,6.4,30,45.6,20.2,17.7,1,
Georges River,2020-01-18,2019/2020,29,552,132,775,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,43.35,25.5,29,17.9,16.3,1,
Georges River,2020-01-25,2019/2020,30,569,145,796,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,23.85,29.8,41.4,19.2,17.8,1,
Georges River,2020-02-01,2019/2020,31,568,154,765,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,3.65,31.2,37,21.8,18,1,
Georges River,2020-02-08,2019/2020,32,515,145,807,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,80.8,28.3,40.6,20.2,16.6,1,
Georges River,2020-02-15,2019/2020,33,502,153,810,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,358.15,26.4,30.7,20.1,18.8,1,
Georges River,2020-02-22,2019/2020,34,568,146,826,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,14.5,27,32,18.6,16,1,
Georges River,2020-02-29,2019/2020,35,579,165,775,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,2.35,27.3,32.6,18.4,15.2,1,
Georges River,2020-03-07,2019/2020,36,588,179,771,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,52.8,27.3,37.4,18.8,17.6,1,
Georges River,2020-03-14,2019/2020,37,544,165,779,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,14.1,24.1,26.4,15.8,13.3,1,
Georges River,2020-03-21,2019/2020,38,562,145,798,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,22.55,25.4,35.4,14.7,12.3,1,
Georges River,2020-03-28,2019/2020,39,534,166,788,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,25.2,24.2,29.7,16.4,15.2,1,
Georges River,2020-04-04,2019/2020,40,561,180,824,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,25,25.1,26.1,16.7,14.2,1,
Georges River,2020-04-11,2019/2020,41,614,154,820,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,7.7,22.9,26,14.8,11.6,1,
Georges River,2020-04-18,2019/2020,42,540,133,764,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,10.7,25.4,28.8,12.6,9.3,1,
Georges River,2020-04-25,2019/2020,43,553,156,811,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,24.2,27.6,11.9,10.8,1,
Georges River,2020-05-02,2019/2020,44,521,157,768,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,20.95,23.1,27.7,13.7,8.6,1,
Georges River,2020-05-09,2019/2020,45,525,174,812,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1.15,21.5,27.2,9.9,7.8,1,
Georges River,2020-05-16,2019/2020,46,546,156,813,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1.2,19.6,26.1,8.3,5.8,1,
Griffith,2019-11-30,2019/2020,22,580,155,827,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,31.1,36.7,12.9,6.9,1,1
Griffith,2019-12-07,2019/2020,23,581,157,807,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,4.4,25.4,31.9,11.2,8,1,1
Griffith,2019-12-14,2019/2020,24,559,177,759,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,33.5,40.4,14.2,11.5,1,1
Griffith,2019-12-21,2019/2020,25,528,156,755,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,38.2,45.5,17.7,13.4,1,1
Griffith,2019-12-28,2019/2020,26,553,157,817,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,38.1,42.3,19.8,15.3,1,1
Griffith,2020-01-04,2019/2020,27,540,160,787,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0.12,39.2,43.4,22,14.7,1,1
Griffith,2020-01-11,2019/2020,28,559,124,804,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0.27,37,47.1,20.3,18,1,1
Griffith,2020-01-18,2019/2020,29,565,175,803,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,3.5,33.3,37.4,17.6,13.1,1,1
Griffith,2020-01-25,2019/2020,30,562,159,817,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,12.92,31.4,39,17.1,13.5,1,1
Griffith,2020-02-01,2019/2020,31,584,152,795,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,38.1,45.7,18.7,14.2,1,1
Griffith,2020-02-08,2019/2020,32,560,150,829,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0.43,33.1,44.1,19.6,11.8,1,1
Griffith,2020-02-15,2019/2020,33,536,141,779,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,55.73,29.6,33.9,19.8,16.6,1,1
Griffith,2020-02-22,2019/2020,34,561,148,788,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,10.1,31.5,36.4,17.2,12.8,1,1
Griffith,2020-02-29,2019/2020,35,514,158,823,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0.01,30.1,33.9,16,10.1,1,1
Griffith,2020-03-07,2019/2020,36,545,139,776,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,52.51,26.4,34.7,15.9,12.9,1,1
Griffith,2020-03-14,2019/2020,37,543,162,798,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0.33,28.3,31.3,15.4,12.3,1,1
Griffith,2020-03-21,2019/2020,38,591,194,784,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0.83,27.9,34.2,14.2,11.4,1,1
Griffith,2020-03-28,2019/2020,39,525,162,758,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0.28,26.5,28.1,11.3,8.5,1,1
Griffith,2020-04-04,2019/2020,40,533,158,761,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,14.34,26.7,29.8,14.8,8.9,1,1
Griffith,2020-04-11,2019/2020,41,527,170,810,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,49.45,19.9,21.7,10.4,6.9,1,1
